team_name,attack,defence
Afghanistan,0.116511,-0.112315
Albania,0.007434,-0.101101
Algeria,0.542187,0.376319
American Samoa,-0.091704,-0.132723
Andorra,-0.251881,0.027984
Angola,-0.067218,-0.301593
Anguilla,-0.047670,-0.303033
Antigua and Barbuda,-0.094662,-0.194373
Argentina,0.036588,0.017474
Armenia,-0.298035,-0.225947
Aruba,-0.169348,0.013599
Australia,-0.022312,0.060113
Austria,0.119466,0.080839
Azerbaijan,-0.096397,-0.322639
Bahamas,-0.335409,-0.091016
Bahrain,0.090952,-0.054800
Bangladesh,0.016633,0.132528
Barbados,0.024383,-0.185589
Belarus,0.053659,0.003628
Belgium,-0.015146,0.234188
Belize,-0.147822,-0.259447
Benin,-0.150600,0.387626
Bermuda,-0.342218,-0.221123
Bhutan,0.022520,-0.201342
Bolivia,0.011726,0.040377
Bonaire,0.138183,-0.033724
Bosnia and Herzegovina,0.334281,0.154302
Botswana,-0.472591,-0.113650
Brazil,0.077753,-0.127594
British Virgin Islands,0.077727,0.035484
Brunei,-0.083105,-0.165835
Bulgaria,-0.174914,-0.161074
Burkina Faso,0.024821,0.165126
Burundi,-0.092996,0.041235
Cambodia,-0.169837,0.185762
Cameroon,-0.064638,0.187394
Canada,0.079194,-0.084467
Cape Verde,0.197465,0.181298
Cayman Islands,0.160015,0.048526
Central African Republic,0.082856,-0.244332
Chad,-0.051870,-0.044964
Chile,-0.033030,-0.006284
China,-0.108358,0.056537
Colombia,-0.158752,-0.015923
Comoros,-0.156477,-0.306984
Congo,-0.000826,-0.153662
Cook Islands,0.195823,0.021071
Costa Rica,-0.291460,-0.041665
Croatia,0.271128,-0.076424
Cuba,0.011038,0.077666
Curaçao,-0.011236,0.066125
Cyprus,-0.334798,0.008569
Czech Republic,0.413826,0.215578
DR Congo,0.474662,0.116455
Denmark,-0.049291,0.147622
Djibouti,-0.267835,-0.223266
Dominica,0.071493,-0.124325
Dominican Republic,0.046500,-0.201756
Ecuador,-0.201334,0.010198
Egypt,0.058656,0.208525
El Salvador,-0.497470,0.126760
England,0.365971,0.156677
Equatorial Guinea,-0.412840,-0.030307
Eritrea,-0.027950,-0.024184
Estonia,0.156472,-0.098507
Eswatini,0.043705,0.064035
Ethiopia,-0.295541,-0.177119
Faroe Islands,-0.052440,0.223237
Fiji,0.042023,-0.284073
Finland,0.177616,0.112849
France,0.336652,0.066169
French Guiana,-0.029098,-0.202756
Gabon,-0.167982,-0.118096
Gambia,0.050354,-0.074922
Georgia,-0.196094,-0.105933
Germany,0.183087,0.406951
