team_name,attack,defence
Algeria,0.383643,0.264959
Argentina,0.922450,-0.189187
Australia,0.441826,0.457412
Austria,-0.948232,0.251717
Belgium,0.518876,-0.338717
Bosnia and Herzegovina,0.194342,-0.858744
Brazil,0.211249,0.437190
Canada,-1.250892,0.424283
Cape Verde,0.772494,0.371632
Colombia,0.340683,0.256869
Croatia,-0.798851,0.602052
Curaçao,0.528458,-0.653401
Czech Republic,-0.360184,0.226779
DR Congo,-0.100387,0.693056
Ecuador,-0.322924,0.692449
Egypt,0.311858,0.334520
England,0.104460,0.699383
France,-0.397798,0.107667
Germany,-0.419654,0.808687
Ghana,-0.026882,0.132552
Haiti,0.769251,-0.413331
Iran,-0.090590,0.595260
Iraq,-0.253657,0.244219
Ivory Coast,0.036825,0.691669
Japan,0.414858,0.438113
Jordan,0.382500,0.937148
Mexico,0.682549,0.181546
Morocco,0.544335,0.468777
Netherlands,0.027719,-0.334767
New Zealand,-0.298190,-0.286428
Norway,0.247497,0.007013
Panama,0.884014,0.980597
Paraguay,0.614078,1.010229
Portugal,-0.584585,-0.233398
Qatar,0.045169,0.603318
Saudi Arabia,-0.789964,0.445830
Scotland,1.111707,0.615612
Senegal,0.507181,0.680819
South Africa,0.142754,0.419002
South Korea,0.015505,0.974061
Spain,0.622482,0.928653
Sweden,-0.977049,-0.539346
Switzerland,0.246946,0.648795
Tunisia,0.928305,1.262086
Turkey,0.740554,0.028038
United States,-0.140754,0.251213
Uruguay,-1.980407,0.875957
Uzbekistan,-0.047866,1.717369
