team_name,attack,defence
Afghanistan,-0.686190,-0.296292
Albania,0.125509,0.504237
Algeria,0.943252,0.544743
American Samoa,-0.662399,-1.459044
Andorra,-0.767666,-0.144100
Angola,-0.010232,1.032791
Anguilla,-1.235609,-1.303152
Antigua and Barbuda,-1.205318,-0.983627
Argentina,0.800380,0.875670
Armenia,-0.026445,0.000450
Aruba,-0.916233,-0.848224
Australia,0.298415,0.771240
Austria,0.065365,1.072073
Azerbaijan,-0.985876,-0.868069
Bahamas,-1.317696,-2.089497
Bahrain,0.425982,0.291436
Bangladesh,-0.847046,-0.314247
Barbados,-0.340087,-1.373982
Belarus,-0.006055,-0.033016
Belgium,0.558442,1.371659
Belize,-0.998299,-0.926066
Benin,-0.472423,0.911541
Bermuda,-1.315814,-1.100029
Bhutan,-1.013832,0.231549
Bolivia,0.672362,1.110362
Bonaire,-0.118722,-0.163949
Bosnia and Herzegovina,0.339443,0.314463
Botswana,0.299027,-0.376143
Brazil,1.193369,1.799081
British Virgin Islands,-1.550975,-1.224154
Brunei,-0.263527,-0.188587
Bulgaria,0.150982,0.657864
Burkina Faso,0.053481,0.077000
Burundi,0.006049,0.133112
Cambodia,-0.344061,-0.034176
Cameroon,0.572513,0.376253
Canada,-0.507664,-0.627065
Cape Verde,-0.028106,-0.077678
Cayman Islands,-1.353420,-1.138735
Central African Republic,-0.170624,-0.243460
Chad,0.032998,-0.282663
Chile,1.022944,0.216006
China,0.636428,0.900888
Colombia,0.782067,1.154568
Comoros,0.003545,-0.491039
Congo,0.021862,-0.105613
Cook Islands,-0.376631,-0.687290
Costa Rica,-0.255244,-0.084523
Croatia,0.008666,0.140772
Cuba,-0.570456,-1.371433
Curaçao,0.561242,-0.311807
Cyprus,-0.363397,-0.232547
Czech Republic,0.601041,-0.531939
DR Congo,-0.092851,0.354682
Denmark,0.555978,1.199969
Djibouti,-0.460086,-0.551704
Dominica,-1.404081,-1.136802
Dominican Republic,-0.355550,-1.281862
Ecuador,0.522351,0.782841
Egypt,0.199875,0.724887
El Salvador,0.047707,-1.007041
England,0.806715,0.999254
Equatorial Guinea,-0.826252,-0.249351
Eritrea,-0.024009,-0.312290
Estonia,0.163132,1.046582
Eswatini,-0.380108,0.074083
Ethiopia,-0.768755,-0.000972
Faroe Islands,0.044009,0.264792
Fiji,-0.660998,-0.903884
Finland,-0.074290,0.210109
France,0.878297,1.181245
French Guiana,-0.172964,-0.859055
Gabon,0.808634,0.475240
Gambia,0.334891,-0.425250
Georgia,0.218530,0.641479
Germany,1.245566,0.201348
Ghana,-0.123184,0.653225
Gibraltar,-0.391661,-0.276807
Greece,0.044128,0.588066
Greenland,0.068059,-1.081193
Grenada,-0.392593,-0.427242
Guadeloupe,-0.778799,-0.995746
Guam,-0.425646,-0.663257
Guatemala,-0.187648,-0.585891
