date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,timestamp,friendly,timestamp_prev,home_team_id,away_team_id
1950-03-19,Austria,Switzerland,3,3,Central European International Cup,Vienna,Austria,False,54,False,0,3,42
1950-03-25,Argentina,Paraguay,2,2,Copa Chevallier Boutell,Buenos Aires,Argentina,False,60,False,54,1,32
1950-03-29,Argentina,Paraguay,4,0,Copa Chevallier Boutell,Buenos Aires,Argentina,False,64,False,60,1,32
1950-04-02,Spain,Portugal,5,1,FIFA World Cup qualification,Madrid,Spain,False,68,False,64,40,33
1950-04-09,Portugal,Spain,2,2,FIFA World Cup qualification,Oeiras,Portugal,False,75,False,68,33,40
1950-04-15,Scotland,England,0,1,FIFA World Cup qualification,Glasgow,Scotland,False,81,False,75,36,16
1950-04-16,Belgium,Netherlands,2,0,Friendly,Antwerp,Belgium,False,82,True,81,4,28
1950-04-26,Scotland,Switzerland,3,1,Friendly,Glasgow,Scotland,False,92,True,82,36,42
1950-04-30,Paraguay,Uruguay,3,2,Friendly,Rio de Janeiro,Brazil,True,96,True,92,32,46
1950-05-06,Brazil,Uruguay,3,4,Copa Rio Branco,São Paulo,Brazil,False,102,False,96,6,46
1950-05-07,Brazil,Paraguay,2,0,Copa Oswaldo Cruz,Rio de Janeiro,Brazil,False,103,False,102,6,32
1950-05-13,Brazil,Paraguay,3,3,Copa Oswaldo Cruz,São Paulo,Brazil,False,109,False,103,6,32
1950-05-14,Brazil,Uruguay,3,2,Copa Rio Branco,Rio de Janeiro,Brazil,False,110,False,109,6,46
1950-05-14,Portugal,England,3,5,Friendly,Oeiras,Portugal,False,110,True,110,33,16
1950-05-18,Belgium,England,1,4,Friendly,Brussels,Belgium,False,114,True,110,4,16
1950-05-21,Portugal,Scotland,2,2,Friendly,Oeiras,Portugal,False,117,True,114,33,36
1950-05-27,France,Scotland,0,1,Friendly,Colombes,France,False,123,True,117,17,36
1950-05-28,Turkey,Iran,6,1,Friendly,Istanbul,Turkey,False,124,True,123,44,21
1950-06-04,Belgium,France,4,1,Friendly,Brussels,Belgium,False,131,True,124,4,17
1950-06-08,Sweden,Netherlands,4,1,Friendly,Solna,Sweden,False,135,True,131,41,28
1950-06-24,South Africa,Australia,3,2,Friendly,Durban,South Africa,False,151,True,135,38,2
1950-06-24,Brazil,Mexico,4,0,FIFA World Cup,Rio de Janeiro,Brazil,False,151,False,151,6,26
1950-06-25,Spain,United States,3,1,FIFA World Cup,Curitiba,Brazil,True,152,False,151,40,45
1950-06-28,Brazil,Switzerland,2,2,FIFA World Cup,São Paulo,Brazil,False,155,False,152,6,42
1950-06-29,Paraguay,Sweden,2,2,FIFA World Cup,Curitiba,Brazil,True,156,False,155,32,41
1950-06-29,England,United States,0,1,FIFA World Cup,Belo Horizonte,Brazil,True,156,False,156,16,45
1950-07-01,South Africa,Australia,2,1,Friendly,Johannesburg,South Africa,False,158,True,156,38,2
1950-07-02,England,Spain,0,1,FIFA World Cup,Rio de Janeiro,Brazil,True,159,False,158,16,40
1950-07-02,Mexico,Switzerland,1,2,FIFA World Cup,Porto Alegre,Brazil,True,159,False,159,26,42
1950-07-08,South Africa,Australia,1,2,Friendly,Port Elizabeth,South Africa,False,165,True,159,38,2
1950-07-09,Brazil,Sweden,7,1,FIFA World Cup,Rio de Janeiro,Brazil,False,166,False,165,6,41
