sequence,distribution,dimension,n,backend,order,input_sha256,input_generation_seconds,first_call_seconds,samples_seconds,median_seconds,q25_seconds,q75_seconds
sobol,normal,2,128,cpu,0,ba02110def833f457b3a8777ae6d50a361ddb2e61fac2908a27aaf982f6c9024,2.358514752999781,0.24273521900022388,"[0.00012003899973933585, 0.00012950899963470874, 9.577899982105009e-05, 0.0003844489997391065, 0.00021833900018464192, 0.00012255699994057068, 0.00010811199990712339]",0.00012255699994057068,0.00011407549982322962,0.00017392399990967533
sobol,normal,2,128,gpu,1,ba02110def833f457b3a8777ae6d50a361ddb2e61fac2908a27aaf982f6c9024,2.358514752999781,0.5551703500000258,"[0.0006013189999976021, 0.0005962780001027568, 0.0006016320003254805, 0.0005797849998998572, 0.0007350539999606553, 0.0006324659998426796, 0.0005697910000890261]",0.0006013189999976021,0.000588031500001307,0.00061704900008408
sobol,normal,2,256,gpu,0,abcdcfddae54634377017e4cd9590d33d5d451cb39f408c3453e0833fc46bc62,0.9367804009998508,0.4780146420002893,"[0.0005623050001304364, 0.0005412329996943299, 0.0005287960002533509, 0.000534987000264664, 0.0005304100000103062, 0.000562279999940074, 0.0005321929997990082]",0.000534987000264664,0.0005313014999046572,0.000551756499817202
sobol,normal,2,256,cpu,1,abcdcfddae54634377017e4cd9590d33d5d451cb39f408c3453e0833fc46bc62,0.9367804009998508,0.21899458799998683,"[0.00019293700006528525, 0.00016963899997790577, 0.00015690600002926658, 0.00015652399997634348, 0.00015953900037857238, 0.00014838100014458178, 0.0001583349999236816]",0.0001583349999236816,0.00015671500000280503,0.00016458900017823908
sobol,normal,2,512,cpu,0,2e076ca292e495972119f2d9b1bbb477678250a20caf80aa2f6d4f8e8e5cc12d,0.9612745950003045,0.22674591800023336,"[0.00030706999996255036, 0.00030121800000415533, 0.0002913819998866529, 0.00027626099972621887, 0.0002772549996734597, 0.00029487600022548577, 0.0002886110000872577]",0.0002913819998866529,0.0002829329998803587,0.00029804700011482055
sobol,normal,2,512,gpu,1,2e076ca292e495972119f2d9b1bbb477678250a20caf80aa2f6d4f8e8e5cc12d,0.9612745950003045,0.5439711889998762,"[0.0006111689999670489, 0.0006479109997599153, 0.0006544959996972466, 0.0006354459997055528, 0.0006834220002929214, 0.0006491730000561802, 0.0006412060001821374]",0.0006479109997599153,0.0006383259999438451,0.0006518344998767134
sobol,normal,2,2048,gpu,0,567a13886a50fbd70bf894c5d16388e5098e875a41edcb79b65917b8fc48c2ad,0.9913933130001169,0.7158989249996921,"[0.0007106029997885344, 0.0006792139997742197, 0.0006769880001229467, 0.0006357709999065264, 0.0006490109999504057, 0.0006434659999285941, 0.0006451509998441907]",0.0006490109999504057,0.0006443084998863924,0.0006781009999485832
sobol,normal,2,2048,cpu,1,567a13886a50fbd70bf894c5d16388e5098e875a41edcb79b65917b8fc48c2ad,0.9913933130001169,0.29246196300027805,"[0.001806088000193995, 0.0016563089998271607, 0.001728599999751168, 0.0016484399998262234, 0.0016171150000445778, 0.0016576719999648049, 0.0016223779998654209]",0.0016563089998271607,0.0016354089998458221,0.0016931359998579865
sobol,normal,2,8192,cpu,0,21eebed97d70822de6791e97a9d67092cbe307b73b1ced2d4a874f7daab3347e,1.1024250000000393,0.2660781260001386,"[0.004979166999873996, 0.006294715999956679, 0.004823726999802602, 0.0050691810001808335, 0.005032014999869716, 0.0049005809996742755, 0.005164530000001832]",0.005032014999869716,0.004939873999774136,0.005116855500091333
sobol,normal,2,8192,gpu,1,21eebed97d70822de6791e97a9d67092cbe307b73b1ced2d4a874f7daab3347e,1.1024250000000393,0.7891647159999593,"[0.0006822410000495438, 0.0006871929999761051, 0.0006596639996132581, 0.0006713650000165217, 0.0006846149999546469, 0.0006945200002519414, 0.0006907609999871056]",0.0006846149999546469,0.0006768030000330327,0.0006889769999816053
