sequence,dimension,n,mode,scramble,implementation,backend,order,repetition_seeds,setup_seconds,first_call_seconds,samples_seconds,median_seconds,q25_seconds,q75_seconds
sobol,2,128,fresh,True,jax,cpu,0,"[3012144264, 978531320, 1784493223, 2819411886, 2111111673, 376855881, 1134159645]",0.00024736200020925025,0.5498476380000739,"[0.0001077130000339821, 9.594000016477366e-05, 8.379799987778824e-05, 6.92189998972026e-05, 7.885800005169585e-05, 6.671400001323491e-05, 6.884599997647456e-05]",7.885800005169585e-05,6.903249993683858e-05,8.986900002128095e-05
sobol,2,128,fresh,True,jax,gpu,1,"[3012144264, 978531320, 1784493223, 2819411886, 2111111673, 376855881, 1134159645]",0.004430054000067685,1.0446305290001874,"[0.00016125899992402992, 0.00016946400000961148, 0.00019095799984825135, 0.00022600400006922428, 0.00015090700003383972, 0.00022728900012225495, 0.00015369800007647427]",0.00016946400000961148,0.0001574785000002521,0.0002084809999587378
sobol,2,128,fresh,True,scipy,cpu,2,"[3012144264, 978531320, 1784493223, 2819411886, 2111111673, 376855881, 1134159645]",0.0026547840000148426,0.017323977000160085,"[0.00045268799999576004, 0.0004725090000192722, 0.00044311999999990803, 0.00044946399998480047, 0.000456762999874627, 0.00044400399997357454, 0.0004596800001763768]",0.00045268799999576004,0.0004467339999791875,0.0004582215000255019
sobol,2,512,fresh,True,jax,gpu,0,"[1415777859, 1368984083, 3106731543, 1291428474, 3117704105, 4245302522, 3001373056]",0.00026310099997317593,5.319127067999943,"[0.00018714899988481193, 0.00021572200012087706, 0.00019367899994904292, 0.00019798800008175022, 0.00016239999990830256, 0.00016063000020949403, 0.0001785670001481776]",0.00018714899988481193,0.0001704835000282401,0.00019583350001539657
sobol,2,512,fresh,True,scipy,cpu,1,"[1415777859, 1368984083, 3106731543, 1291428474, 3117704105, 4245302522, 3001373056]",0.0028728300001148455,0.001172868999901766,"[0.0004604049997851689, 0.00044427800003177254, 0.0004617229999439587, 0.0004506179998315929, 0.0004564170001231105, 0.00044765400002688693, 0.00045306399988476187]",0.00045306399988476187,0.0004491359999292399,0.0004584109999541397
sobol,2,512,fresh,True,jax,cpu,2,"[1415777859, 1368984083, 3106731543, 1291428474, 3117704105, 4245302522, 3001373056]",0.00021628900003634044,0.49779401599994344,"[0.0001314460000685358, 9.063900006367476e-05, 8.142199999383593e-05, 8.5799000089537e-05, 8.178100006261957e-05, 7.725600016783574e-05, 7.851200007280568e-05]",8.178100006261957e-05,7.99670000333208e-05,8.821900007660588e-05
sobol,2,2048,fresh,True,scipy,cpu,0,"[2511237387, 3111582417, 682745807, 3092569146, 3173946726, 505468840, 3782424963]",0.005057604000057836,0.0012370650001685135,"[0.0005143620001035742, 0.0004823010001473449, 0.0005088139998861152, 0.0004930560000957485, 0.0005048399998486275, 0.0005011869998270413, 0.0005108099999233673]",0.0005048399998486275,0.0004971214999613949,0.0005098119999047412
sobol,2,2048,fresh,True,jax,cpu,1,"[2511237387, 3111582417, 682745807, 3092569146, 3173946726, 505468840, 3782424963]",0.00023393100013890944,0.5199469629999385,"[0.0001471040000069479, 0.00020593299996107817, 0.00012351300006230304, 0.00011616500000855012, 9.734900004332303e-05, 9.78129999111843e-05, 0.00010569599999143975]",0.00011616500000855012,0.00010175449995131203,0.00013530850003462547
sobol,2,2048,fresh,True,jax,gpu,2,"[2511237387, 3111582417, 682745807, 3092569146, 3173946726, 505468840, 3782424963]",0.006020163999892247,2.2817630570000347,"[0.000205307999976867, 0.00021103900007801712, 0.00019724499998119427, 0.0002286609999373468, 0.00020045299993398658, 0.0001865470001121139, 0.0001957909998964169]",0.00020045299993398658,0.0001965179999388056,0.00020817350002744206
sobol,2,8192,fresh,True,jax,cpu,0,"[332697898, 932814764, 1145832512, 3469776947, 3265138596, 1370292082, 4099334836]",0.0030867539999235305,0.5464655650000623,"[0.0009465050000017072, 0.0004450139999789826, 0.00036859200008620974, 0.00023102099999050552, 0.00027559799991649925, 0.00027144799992129265, 0.00022928699991098256]",0.00027559799991649925,0.0002512344999558991,0.0004068030000325962
