dimension,budget_seconds,backend,status,n,median_seconds,q75_seconds,selection_rmse,validation_rmse,validation_ci95,measured_fraction_within_budget
2,0.01,cpu,no_measured_configuration_within_budget,,,,,,,
2,0.01,gpu,no_measured_configuration_within_budget,,,,,,,
2,0.05,cpu,selected,128,0.03387915700022859,0.03408867299981466,0.1130675753734897,0.13007515406376371,"[0.12273537218071016, 0.13759683092610336]",1.0
2,0.05,gpu,selected,256,0.04134289300009186,0.042098433500086685,0.08633001082022813,0.09013960707123,"[0.08201650087016381, 0.09795447686110909]",0.8571428571428571
2,0.1,cpu,selected,256,0.06464854100022421,0.06471048749995134,0.08633001082022813,0.09013960707123002,"[0.0820165008701638, 0.09795447686110907]",1.0
2,0.1,gpu,selected,2048,0.07036091200006922,0.07045829900016543,0.022213897390964885,0.02418054059359806,"[0.020228266343964026, 0.029009546975964265]",1.0
5,0.01,cpu,no_measured_configuration_within_budget,,,,,,,
5,0.01,gpu,no_measured_configuration_within_budget,,,,,,,
5,0.05,cpu,selected,128,0.03636815199979537,0.037081863500134205,0.3434872739213601,0.3392170133035258,"[0.32858895707195723, 0.34955050448445896]",1.0
5,0.05,gpu,selected,2048,0.048289715999999316,0.04880319549988599,0.11301838953594265,0.10313637346676585,"[0.09633812739364145, 0.11149208288555389]",1.0
5,0.1,cpu,selected,512,0.09312822499987305,0.09333438249996107,0.19011206316857107,0.19570441190543092,"[0.18875972187017698, 0.20256783442150803]",1.0
5,0.1,gpu,selected,2048,0.048289715999999316,0.04880319549988599,0.11301838953594265,0.10313637346676585,"[0.09633812739364145, 0.11149208288555389]",1.0
10,0.01,cpu,no_measured_configuration_within_budget,,,,,,,
10,0.01,gpu,no_measured_configuration_within_budget,,,,,,,
10,0.05,cpu,selected,128,0.031137870000293333,0.031546262000119896,0.7220247819923548,0.7365986881520519,"[0.7232031797755989, 0.7500317229706709]",1.0
10,0.05,gpu,selected,2048,0.04063188500003889,0.04093002749982588,0.29749849057275585,0.29818962725691467,"[0.2918485327308549, 0.3047192792768512]",1.0
10,0.1,cpu,selected,256,0.05575210699998934,0.05583811499991498,0.576437622240384,0.5816067111445262,"[0.5683722689309927, 0.5925204438123484]",1.0
10,0.1,gpu,selected,2048,0.04063188500003889,0.04093002749982588,0.29749849057275585,0.29818962725691467,"[0.2918485327308549, 0.3047192792768512]",1.0
30,0.01,cpu,no_measured_configuration_within_budget,,,,,,,
30,0.01,gpu,no_measured_configuration_within_budget,,,,,,,
30,0.05,cpu,selected,128,0.039950607999799104,0.040325379500018244,1.5369784650646985,1.5709026333370244,"[1.5438605186857872, 1.6007737337443537]",1.0
30,0.05,gpu,selected,2048,0.035198055999899225,0.03562262000014016,1.064557272601128,1.031287114485816,"[1.016805916224632, 1.0467408141632166]",1.0
30,0.1,cpu,selected,256,0.07065440300038972,0.07082612499993957,1.3954852257643622,1.386782425346532,"[1.3643464291255922, 1.410107912590709]",1.0
30,0.1,gpu,selected,2048,0.035198055999899225,0.03562262000014016,1.064557272601128,1.031287114485816,"[1.016805916224632, 1.0467408141632166]",1.0
60,0.01,cpu,no_measured_configuration_within_budget,,,,,,,
60,0.01,gpu,no_measured_configuration_within_budget,,,,,,,
60,0.05,cpu,no_measured_configuration_within_budget,,,,,,,
60,0.05,gpu,selected,2048,0.032918079999944894,0.03943292449980618,1.7880993358602306,1.791981127781043,"[1.7739622235089323, 1.810532748008791]",1.0
60,0.1,cpu,selected,128,0.06492407199993977,0.0651086804998613,2.4443096606576007,2.4607890258072707,"[2.4179819521432977, 2.5046697038716683]",1.0
60,0.1,gpu,selected,2048,0.032918079999944894,0.03943292449980618,1.7880993358602306,1.791981127781043,"[1.7739622235089323, 1.810532748008791]",1.0
