method,epoch,train_logz,test_logz
ekf,1,-16796.772155411963,-1101.7568551550212
ekf,2,-16738.35935184765,-1098.646685086369
ekf,3,-16681.195575529084,-1095.6129576461535
ekf,4,-16625.17100687544,-1092.4151227086768
ekf,5,-16570.355864722147,-1089.1410565648257
ekf,6,-16516.99419442836,-1085.9076522365904
ekf,7,-16465.228292564065,-1082.8121072614485
ekf,8,-16415.07654459176,-1079.9238656008893
ekf,9,-16366.5806186489,-1077.244080163984
ekf,10,-16319.847144117683,-1074.7354935271778
ekf,11,-16274.964352792833,-1072.350962723338
ekf,12,-16231.957002727293,-1070.043393909502
ekf,13,-16190.816977148355,-1067.7870358516338
ekf,14,-16151.554233345267,-1065.5881572237613
ekf,15,-16114.192877451826,-1063.4718200562584
ekf,16,-16078.739238176713,-1061.4679231825467
ekf,17,-16045.168241957346,-1059.6011167449888
ekf,18,-16013.439554308825,-1057.8814631281784
ekf,19,-15983.519046130596,-1056.3023373697524
ekf,20,-15955.378853626493,-1054.8463257534258
ekf,21,-15928.984680592097,-1053.4918469874756
ekf,22,-15904.289008883183,-1052.2185453112888
ekf,23,-15881.235713486478,-1051.0123249244443
ekf,24,-15859.768924498128,-1049.8680365319215
ekf,25,-15839.836422711032,-1048.7880432820675
ekf,26,-15821.38671147643,-1047.7784735481564
ekf,27,-15804.365379269871,-1046.845644737179
ekf,28,-15788.714506852073,-1045.9935583785955
ekf,29,-15774.3747263576,-1045.2226412786404
ekf,30,-15761.287458972716,-1044.5297946051123
ekf,31,-15749.39561545324,-1043.9094177826355
ekf,32,-15738.642971402156,-1043.3547473950293
ekf,33,-15728.973314906356,-1042.858998483227
ekf,34,-15720.33005922991,-1042.416119945232
ekf,35,-15712.656337196117,-1042.0211608599711
ekf,36,-15705.89527052411,-1041.6703050531287
ekf,37,-15699.990144836209,-1041.3606659943598
ekf,38,-15694.884403379363,-1041.0899611137702
ekf,39,-15690.52151356365,-1040.8561794850466
ekf,40,-15686.844797029276,-1040.6573182711181
ekf,41,-15683.797282284393,-1040.491215709144
ekf,42,-15681.321596540132,-1040.3554733513993
ekf,43,-15679.359889730224,-1040.2474436388638
ekf,44,-15677.853779562207,-1040.164256198579
ekf,45,-15676.74431164459,-1040.10286092585
ekf,46,-15675.971934878435,-1040.0600730207007
ekf,47,-15675.47649592608,-1040.032611889008
ekf,48,-15675.197257629303,-1040.017130966311
ekf,49,-15675.072945852224,-1040.0102388212017
ekf,50,-15675.041828342091,-1040.0085136151356
sqmc,1,-15622.80055983779,-1047.0168600019242
sqmc,2,-15679.03855512852,-1040.373399240134
sqmc,3,-15611.991774179682,-1057.4841725321057
sqmc,4,-15654.192434696884,-1025.5278322463637
sqmc,5,-15571.272484861054,-1044.0185759080796
sqmc,6,-15587.811067551285,-1057.3157114323676
sqmc,7,-15479.43559769816,-1015.8631850464444
sqmc,8,-15442.184775254671,-1031.3303690732064
sqmc,9,-15386.741097351665,-1013.0150909063577
sqmc,10,-15380.34494786835,-1007.8735183643148
sqmc,11,-15381.176369395,-1057.2552181223273
sqmc,12,-15274.801429309038,-1055.169348606756
sqmc,13,-15395.745969243382,-1022.7713135936665
sqmc,14,-15182.299108250068,-1049.2769846621559
sqmc,15,-15467.580719028356,-1038.6973627929583
sqmc,16,-15162.35751932591,-1036.8876146053044
sqmc,17,-15342.585103621543,-1011.5610621778378
sqmc,18,-15233.413701622037,-1026.3315742456089
sqmc,19,-15121.753852144768,-1041.606103618802
sqmc,20,-15158.48258339378,-991.1684739502234
sqmc,21,-15039.900972145935,-1036.394249424562
sqmc,22,-15049.451391137463,-994.8125241958805
sqmc,23,-15080.684548228692,-1016.8677013291999
sqmc,24,-14825.687962182508,-1007.9533657360171
sqmc,25,-15209.026273420779,-1008.1285193383337
sqmc,26,-15107.342606443091,-970.8976284350665
sqmc,27,-14995.515174668933,-1014.9471544075332
sqmc,28,-14997.755467926028,-1027.9250917536574
sqmc,29,-14962.423491269205,-1039.527800198597
sqmc,30,-15003.625215406419,-1024.1342424175054
sqmc,31,-15095.28384161196,-996.3353394950936
sqmc,32,-15053.668629405116,-1014.3350498061554
sqmc,33,-14973.162321504251,-1005.4340818292603
sqmc,34,-14944.8518419694,-998.9145779075589
sqmc,35,-15091.452661676423,-991.9694677013049
sqmc,36,-15117.218983241653,-977.0592806606837
sqmc,37,-14903.037097582432,-990.9730488257119
sqmc,38,-14934.64742001556,-1024.7298704303412
sqmc,39,-14946.540855881673,-989.830913374908
sqmc,40,-14959.860246170292,-1035.0647580267814
sqmc,41,-14822.584710693878,-1009.8055675404448
sqmc,42,-15022.762140590086,-985.9205249719525
sqmc,43,-14928.764036588436,-1020.7686156977397
sqmc,44,-14869.370994509862,-976.4855004676101
sqmc,45,-14899.098264947346,-1011.6062992759507
sqmc,46,-14763.773781132588,-1017.4292496242742
sqmc,47,-14946.396712536522,-1030.4527272620744
sqmc,48,-14862.24137045155,-995.6836123655703
sqmc,49,-14830.27578215814,-1021.1121509881268
sqmc,50,-14991.42126035742,-1005.2261671227716
