team_name,attack,defence
Algeria,-0.007913,-0.014926
Argentina,-0.056965,-0.085857
Australia,0.001335,0.031437
Austria,-0.025740,-0.041541
Belgium,0.112516,-0.049291
Bosnia and Herzegovina,0.083573,0.008490
Brazil,-0.056814,-0.147291
Canada,-0.007850,0.034376
Cape Verde,-0.100678,-0.125024
Colombia,-0.059844,-0.060269
Croatia,-0.008319,0.006069
Curaçao,0.057531,-0.041639
Czech Republic,0.053997,-0.018796
DR Congo,-0.125712,-0.077215
Ecuador,-0.102418,-0.036021
Egypt,-0.161876,-0.065853
England,0.160941,-0.054180
France,0.089078,-0.035833
Germany,0.022294,-0.006501
Ghana,-0.086450,-0.153994
Haiti,0.077952,-0.021171
Iran,-0.240805,0.110151
Iraq,-0.335142,0.047890
Ivory Coast,-0.048882,-0.133747
Japan,-0.015877,0.001271
Jordan,-0.042373,0.049882
Mexico,0.056591,0.005947
Morocco,-0.030542,-0.042081
Netherlands,0.072641,-0.043865
New Zealand,-0.047514,-0.017026
Norway,0.062962,-0.062941
Panama,-0.042600,-0.024903
Paraguay,0.000150,-0.062671
Portugal,0.162473,0.019636
Qatar,-0.211581,-0.089387
Saudi Arabia,-0.301734,0.073846
Scotland,0.033298,-0.020403
Senegal,-0.043811,-0.127723
South Africa,-0.146548,-0.054840
South Korea,-0.182390,0.084606
Spain,0.096334,-0.038368
Sweden,0.114504,-0.087729
Switzerland,0.070212,0.030649
Tunisia,0.024662,-0.109528
Turkey,0.047793,-0.017980
United States,-0.009401,-0.067250
Uruguay,-0.137338,-0.014058
Uzbekistan,-0.190908,0.179540
