team_name,attack,defence
Algeria,-0.001430,0.000033
Argentina,0.000860,0.013980
Australia,-0.002863,0.003717
Austria,-0.008816,-0.006537
Belgium,-0.005471,-0.008421
Bosnia and Herzegovina,-0.002184,0.001685
Brazil,-0.006043,0.004483
Canada,-0.001668,0.007562
Cape Verde,-0.004353,0.009980
Colombia,-0.001788,0.013477
Croatia,-0.007809,-0.000281
Curaçao,-0.003400,-0.008785
Czech Republic,-0.003001,0.005546
DR Congo,-0.001880,-0.000928
Ecuador,0.005005,-0.004762
Egypt,0.000668,0.030737
England,-0.007359,0.006586
France,-0.007787,-0.001246
Germany,-0.007125,0.008956
Ghana,-0.007640,0.007117
Haiti,0.005086,0.012156
Iran,0.004517,0.001372
Iraq,-0.003726,-0.002891
Ivory Coast,-0.006796,-0.011092
Japan,0.008392,-0.004943
Jordan,0.006637,-0.008977
Mexico,-0.001743,0.003655
Morocco,-0.005621,0.001564
Netherlands,0.000764,-0.003084
New Zealand,0.001487,-0.003964
Norway,-0.000239,-0.005739
Panama,0.007075,0.000640
Paraguay,-0.006130,0.007368
Portugal,-0.005795,-0.015549
Qatar,-0.000080,-0.012932
Saudi Arabia,0.012050,0.010220
Scotland,0.001294,-0.003039
Senegal,-0.011095,-0.020022
South Africa,-0.029052,0.003262
South Korea,0.007302,-0.008925
Spain,-0.010489,0.006230
Sweden,0.005657,0.000712
Switzerland,-0.004635,-0.023027
Tunisia,-0.010364,-0.001035
Turkey,-0.008602,0.003865
United States,0.010712,0.014416
Uruguay,0.010857,-0.009338
Uzbekistan,0.002009,0.000138
