team_name,attack,defence
Algeria,0.217881,-0.410973
Argentina,0.371555,-0.127683
Australia,-0.105477,0.257449
Austria,0.411391,0.505063
Belgium,0.497399,0.483212
Bosnia and Herzegovina,-0.239755,0.059893
Brazil,-0.243653,-0.091718
Canada,-0.518569,0.033359
Cape Verde,-0.958096,-0.240899
Colombia,0.260407,-0.537132
Croatia,0.216358,0.649609
Curaçao,0.062155,-0.516159
Czech Republic,0.384913,0.427430
DR Congo,-0.263751,-0.923925
Ecuador,-0.152878,0.199833
Egypt,-0.655373,-0.636197
England,0.458386,0.395564
France,0.700281,0.654621
Germany,0.462306,0.368706
Ghana,-0.526665,-0.503416
Haiti,-0.820366,-0.757209
Iran,-0.289753,-0.099229
Iraq,-0.969937,-0.242629
Ivory Coast,-0.932588,0.064933
Japan,-0.209770,0.032316
Jordan,-0.341773,0.170989
Mexico,0.297100,0.127317
Morocco,-0.195282,-0.277518
Netherlands,0.520809,0.763791
New Zealand,-0.383430,-0.201418
Norway,0.107043,0.199895
Panama,-0.175769,-0.407698
Paraguay,-0.369927,0.114694
Portugal,0.338196,0.767444
Qatar,-0.941648,-0.156356
Saudi Arabia,-0.819937,-0.083760
Scotland,-0.301154,0.361989
Senegal,-0.752857,-0.093062
South Africa,-0.753256,0.051774
South Korea,-0.173846,0.151928
Spain,1.191915,0.477809
Sweden,0.417688,-0.006080
Switzerland,0.625340,0.760399
Tunisia,0.050776,0.503116
Turkey,0.595506,0.296561
United States,-0.181449,-0.276267
Uruguay,-0.397166,-0.146153
Uzbekistan,-0.558339,0.787700
