team_name,attack,defence
Algeria,0.710764,0.360307
Argentina,-1.003352,0.401471
Australia,0.384868,1.148641
Austria,-0.287273,-0.576227
Belgium,-0.835038,1.437635
Bosnia and Herzegovina,-1.372215,-0.957133
Brazil,0.608847,1.369774
Canada,-3.362114,-0.554385
Cape Verde,-0.885222,0.088764
Colombia,0.867993,0.207271
Croatia,-0.151843,1.384959
Curaçao,-2.266855,0.590129
Czech Republic,0.924767,0.221177
DR Congo,0.574513,0.160681
Ecuador,0.485130,0.993092
Egypt,-0.881915,-0.239253
England,0.108360,0.458387
France,0.727971,0.485162
Germany,0.114716,-0.443374
Ghana,-1.707776,0.240907
Haiti,-0.014302,-2.289529
Iran,-0.156288,0.708020
Iraq,0.494430,0.493910
Ivory Coast,-0.078472,-0.316169
Japan,0.468842,-0.252030
Jordan,0.274670,1.183393
Mexico,-0.123762,-0.429875
Morocco,0.875588,0.503913
Netherlands,0.596337,0.696555
New Zealand,-2.109122,1.058848
Norway,0.101341,-1.552243
Panama,-0.201151,-0.364264
Paraguay,-0.479265,1.338730
Portugal,-0.072024,0.870908
Qatar,0.594104,0.034408
Saudi Arabia,-1.115548,0.767755
Scotland,-0.408407,1.046949
Senegal,-0.480617,0.333214
South Africa,-1.113855,0.231054
South Korea,0.890263,2.000751
Spain,1.437542,0.557407
Sweden,-1.607394,-0.278426
Switzerland,-0.128218,-0.575552
Tunisia,0.695973,2.008204
Turkey,-0.255596,0.519504
United States,-1.652709,0.875203
Uruguay,-0.118161,-0.455861
Uzbekistan,-1.184626,0.657652
