timestamp,timestamp_prev,dt,home_id,away_id,home_score,away_score,home_variance_before,away_variance_before,home_away_covariance_before,gamma_pred_trace,gamma_after_trace,kalman_gain_norm,home_team,away_team
23,0,23,13,0,0,0,2.250225,2.250225,0.45000002,108.0,102.3001,1.5633152,DR Congo,Algeria
26,23,3,38,13,1,0,2.1011198,0.013669684,0.0026919188,102.3342,99.91491,1.5331354,South Africa,DR Congo
27,26,1,15,37,1,0,2.0580165,2.0580165,0.25781077,99.93106,95.52843,1.4572338,Egypt,Senegal
28,27,1,43,27,0,0,2.0011077,2.0011077,0.2009076,95.553345,91.44153,1.4316248,Tunisia,Morocco
30,28,2,19,23,0,2,1.9655842,1.9655842,0.16538748,91.50763,87.55113,1.418333,Ghana,Ivory Coast
32,30,2,38,0,1,1,0.026926769,0.039680045,0.0053489273,87.63277,87.5597,1.4743217,South Africa,Algeria
34,32,2,30,41,1,1,2.250225,2.250225,0.45000002,87.6413,81.04147,1.6665028,Norway,Sweden
35,34,1,24,26,0,1,2.250225,2.250225,0.0,81.09534,75.51544,1.5746441,Japan,Mexico
36,35,1,19,38,0,1,0.02676659,0.01802824,0.0035856485,75.580345,75.524826,1.5512038,Ghana,South Africa
37,36,1,15,43,0,1,0.042188052,0.03812885,0.005762285,75.589714,75.50217,1.4669853,Egypt,Tunisia
38,37,1,26,12,1,2,0.013669741,2.1014175,0.0,75.56709,72.88851,1.5589368,Mexico,Czech Republic
42,38,4,38,43,2,2,0.026903685,0.022487849,0.00447757,73.16828,73.10649,1.5544028,South Africa,Tunisia
42,42,0,45,20,3,0,2.1609502,2.1609502,0.3607342,73.10649,68.47539,1.4568384,United States,Haiti
45,42,3,7,39,0,0,2.0588937,2.1620073,0.0,68.71182,64.06304,1.4829712,Canada,South Korea
49,45,4,45,9,2,2,0.03150201,2.250225,0.0,64.41314,61.676792,1.5322781,United States,Colombia
50,49,1,26,7,1,2,0.052196637,0.02208054,0.0037676808,61.76934,61.69072,1.4510443,Mexico,Canada
57,50,7,7,9,2,0,0.031380594,0.03581361,0.0,62.334534,62.254185,1.5445621,Canada,Colombia
87,57,30,9,6,0,0,0.13124633,2.1654696,0.02620596,64.91821,62.361,1.4894099,Colombia,Brazil
98,87,11,34,25,2,2,2.1164215,2.1164215,0.31620947,63.354095,58.788948,1.4616312,Qatar,Jordan
99,98,1,8,0,0,0,1.9749552,0.27959892,0.053252332,58.887276,56.549454,1.5043164,Cape Verde,Algeria
111,99,12,0,8,2,0,0.053457186,0.053457186,0.010671437,57.76957,57.634438,1.5605365,Algeria,Cape Verde
116,111,5,32,46,1,0,2.1086826,2.1086826,0.3084718,58.135586,53.760113,1.4370723,Paraguay,Uruguay
116,116,0,6,14,3,2,0.12645856,2.0299418,0.018885383,53.760113,51.570908,1.436964,Brazil,Ecuador
128,116,12,8,37,2,2,0.075314134,0.3929512,0.0150428265,52.909084,52.356544,1.5465704,Cape Verde,Senegal
134,128,6,8,37,1,0,0.026938586,0.026938586,0.0053677172,53.02027,52.952324,1.5576477,Cape Verde,Senegal
145,134,11,25,22,0,0,0.20206909,2.0535874,0.04037275,54.150146,51.753593,1.4998151,Jordan,Iraq
151,145,6,25,21,0,1,0.027040454,2.01889,0.0053677172,52.424515,50.32145,1.4914775,Jordan,Iran
153,151,2,25,22,1,4,0.009082047,0.03474308,0.0017964096,50.551704,50.501522,1.508288,Jordan,Iraq
154,153,1,45,38,4,0,0.42521966,0.42818427,0.0,50.616405,49.617767,1.5297158,United States,South Africa
154,154,0,32,14,3,1,0.16476347,0.16476347,0.03293269,49.617767,49.244553,1.4897884,Paraguay,Ecuador
155,154,1,17,24,2,2,2.0982952,0.46395606,0.0,49.36195,46.250065,1.5196984,France,Japan
157,155,2,27,17,1,5,0.4713163,0.009082047,0.0,46.49657,45.970047,1.6283482,Morocco,France
158,157,1,26,38,4,2,0.41991833,0.018012896,0.0,46.09398,45.605564,1.5404775,Mexico,South Africa
161,158,3,4,41,2,1,2.0579097,0.50017333,0.08666454,45.978813,42.89811,1.5749838,Belgium,Sweden
162,161,1,45,26,3,0,0.03578323,0.018028216,0.0035856436,43.028187,42.967827,1.4845712,United States,Mexico
162,162,0,28,12,1,0,2.0145307,0.4701591,0.06105221,42.967827,40.178894,1.5049559,Netherlands,Czech Republic
163,162,1,33,16,3,2,1.9858985,1.9858985,0.18569963,40.314404,36.08677,1.455194,Portugal,England
164,163,1,40,30,0,1,1.9547275,0.47474465,0.04079297,36.230453,33.69491,1.4439837,Spain,Norway
166,164,2,41,44,0,0,0.022562888,1.9407715,0.0036444543,33.991535,31.960615,1.5222031,Sweden,Turkey
167,166,1,0,37,1,1,0.2291981,0.14179388,0.02580674,32.11254,31.696066,1.4912555,Algeria,Senegal
167,167,0,12,17,1,2,0.021911241,0.04364659,0.0037478753,31.696066,31.621256,1.5128744,Czech Republic,France
168,167,1,16,18,1,0,0.021659367,1.9304348,0.0030298687,31.77386,29.773697,1.4873441,England,Germany
169,168,1,23,43,2,2,0.49200237,0.45699728,0.05161393,29.929993,28.947634,1.4363298,Ivory Coast,Tunisia
170,169,1,4,44,0,2,0.037896022,0.017856508,0.0031272804,29.10558,29.038946,1.5514421,Belgium,Turkey
171,170,1,33,18,3,0,0.03335661,0.013320586,0.0022220535,29.196712,29.141327,1.5479063,Portugal,Germany
172,171,1,28,17,3,2,0.040735874,0.021367295,0.0029560248,29.29889,29.229252,1.4980465,Netherlands,France
175,172,3,44,33,0,2,0.022249939,0.017975817,0.003493828,29.70046,29.645542,1.617255,Turkey,Portugal
176,175,1,40,17,1,2,0.049013205,0.017408298,0.0027538438,29.802094,29.72542,1.531434,Spain,France
179,176,3,6,46,1,1,0.2560298,0.2560298,0.042836454,30.19366,29.650797,1.4498746,Brazil,Uruguay
179,179,0,2,29,2,0,2.250225,2.250225,0.45000002,29.650797,25.150797,1.4140663,Australia,New Zealand
179,179,0,17,33,2,1,0.013559593,0.017970337,0.0026919188,25.150797,25.105648,1.6509101,France,Portugal
180,179,1,9,1,1,3,0.35455826,2.0089014,0.043254465,25.271273,22.90646,1.4152606,Colombia,Argentina
190,180,10,27,0,2,1,0.1427876,0.101243906,0.02017753,24.591425,24.295406,1.5410044,Morocco,Algeria
